L,p,decoder,p_log
16,0.0012662439104162,restricted,1.3945532960792376e-10
16,0.0016178846158812,restricted,3.6988526155977253e-10
16,0.0020671772703291,restricted,9.734222498747843e-10
16,0.0026412401879709,restricted,2.639444704139742e-09
16,0.0033747225410629,restricted,7.295168335917344e-09
16,0.0043118957075644,restricted,2.0613815792187037e-08
16,0.00550932539392,restricted,5.740459119860792e-08
16,0.0070392858164087,restricted,1.571310427123706e-07
16,0.0089941220135186,restricted,4.42710312857268e-07
16,0.0114918235889064,restricted,1.3153136745287995e-06
16,0.0146831463037804,restricted,4.054114769524574e-06
16,0.018760711362324,restricted,1.2303645453365808e-05
16,0.0239706316029703,restricted,4.0127722578218814e-05
16,0.0306273663268033,restricted,0.00013318691098439998
16,0.039132701367784,restricted,0.00045655256432525
16,0.05,restricted,0.00168
18,6.151958251439813e-05,restricted,8.15697849215024e-19
18,7.750981699063478e-05,restricted,2.58966405665381e-18
18,9.765625000000005e-05,restricted,8.211118075264675e-18
18,0.0001230391650287,restricted,2.603488200446843e-17
18,0.0001550196339812,restricted,8.259324189698125e-17
18,0.0001953125,restricted,2.6176655582361056e-16
18,0.0002460783300575,restricted,8.29623220148345e-16
18,0.0003100392679625,restricted,2.6330816117184154e-15
18,0.000390625,restricted,8.343031977905128e-15
18,0.0004921566601151,restricted,2.6485646297203508e-14
18,0.000620078535925,restricted,8.435085974263533e-14
18,0.00078125,restricted,2.679960377978673e-13
18,0.0009843133202303,restricted,8.477117976984857e-13
18,0.0012401570718501,restricted,2.672062842605848e-12
18,0.0015625,restricted,8.430703156676702e-12
18,0.0019686266404607,restricted,2.6492064175499424e-11
18,0.0024803141437003,restricted,8.344981230980111e-11
18,0.003125,restricted,2.646319374695665e-10
18,0.0039372532809214,restricted,8.322001468561302e-10
18,0.0049606282874006,restricted,2.6521300107765293e-09
18,0.00625,restricted,9.019174568868813e-09
18,0.0078745065618429,restricted,3.117972806125947e-08
18,0.0099212565748012,restricted,1.0707772173484581e-07
18,0.0125,restricted,3.743505925852238e-07
18,0.0157490131236859,restricted,1.3036072910330237e-06
18,0.0198425131496025,restricted,4.550729851233875e-06
18,0.025,restricted,1.59946720202009e-05
18,0.0314980262473718,restricted,6.061968671805326e-05
18,0.0396850262992049,restricted,0.0002450744022507
18,0.05,restricted,0.000994
20,4.495320153182956e-05,restricted,2.957207435722059e-20
20,5.596991795907969e-05,restricted,9.358296901259367e-20
20,6.968650973897868e-05,restricted,2.799560251628968e-19
20,8.676463744597958e-05,restricted,8.37954377702246e-19
20,0.0001080281153315,restricted,2.50681026454722e-18
20,0.0001345026504529,restricted,7.920818587187155e-18
20,0.0001674653207025,restricted,2.437069261908208e-17
20,0.0002085061784548,restricted,7.288411255116639e-17
20,0.0002596049514696,restricted,2.2357201385504446e-16
20,0.0003232265409448,restricted,7.051931268157051e-16
20,0.0004024399233516,restricted,2.1092308158869988e-15
20,0.0005010661916371,restricted,6.319626019215822e-15
20,0.0006238628769998,restricted,1.9334823834924397e-14
20,0.0007767534425478,restricted,5.903986752935104e-14
20,0.0009671130191483,restricted,1.7593697260844662e-13
20,0.0012041241667863,restricted,5.253835898587021e-13
20,0.0014992198226383,restricted,1.5709054736046043e-12
20,0.00186663480278,restricted,4.6900328840719725e-12
20,0.0023240924608492,restricted,1.3999564609484743e-11
20,0.0028936596266884,restricted,4.1929234888690074e-11
20,0.0036028110654717,restricted,1.2503094455376457e-10
20,0.0044857548046658,restricted,3.7603937045941566e-10
20,0.0055850822599125,restricted,1.147867277800724e-09
20,0.0069538227585566,restricted,3.609616236108671e-09
20,0.0086580015668698,restricted,1.150685934656891e-08
20,0.0107798248150172,restricted,3.683701576271503e-08
20,0.0134216449540876,restricted,1.2958211708749096e-07
20,0.016710898030795,restricted,4.764520774808139e-07
20,0.0208062509439709,restricted,1.7701669781121936e-06
20,0.0259052552140368,restricted,6.852804876947063e-06
20,0.0322538764677758,restricted,2.8462068457311522e-05
20,0.0401583593214263,restricted,0.00012388188843525
20,0.05,restricted,0.000562
22,6.230506082126136e-05,restricted,1.6298216274262492e-22
22,7.67869262068671e-05,restricted,5.713821483632011e-22
22,9.46348813174866e-05,restricted,2.0023930479206262e-21
22,0.000116631322601,restricted,7.019433489268681e-21
22,0.0001437405026803,restricted,2.4581955128526592e-20
22,0.0001771508000597,restricted,8.623149661850011e-20
22,0.0002183268137831,restricted,3.0268148988185424e-19
22,0.000269073566705,restricted,1.0616711886689195e-18
22,0.0003316156318356,restricted,3.7197806215624135e-18
22,0.0004086946504049,restricted,1.314772526018177e-17
22,0.0005036895165196,restricted,4.6540103856185276e-17
22,0.0006207644969181,restricted,1.6310025598525695e-16
22,0.0007650517789147,restricted,5.71621567886532e-16
22,0.0009428764488408,restricted,2.0039291073136442e-15
22,0.0011620337633091,restricted,7.00219205955909e-15
22,0.0014321308679736,restricted,2.4451636508996537e-14
22,0.0017650079436267,restricted,8.560675325280654e-14
22,0.0021752572413114,restricted,3.083254474689129e-13
22,0.0026808627592662,restricted,1.1111977701302874e-12
22,0.0033039886030616,restricted,3.877440194312472e-12
22,0.0040719505880821,restricted,1.38610133094011e-11
22,0.005018413676251,restricted,4.983998033574762e-11
22,0.0061848677387427,restricted,1.8914222309689715e-10
22,0.0076224463373287,restricted,6.814597601362687e-10
22,0.0093941682538336,restricted,2.6699179088718797e-09
22,0.0115777000290778,restricted,1.1113947083116285e-08
22,0.014268760612054,restricted,4.503899192193377e-08
22,0.0175853173681095,restricted,1.7706921292225676e-07
22,0.0216727573855216,restricted,7.105102197250614e-07
22,0.0267102607737683,restricted,2.9999837029025878e-06
22,0.0329186553382133,restricted,1.3482406244679107e-05
22,0.0405700969546619,restricted,6.431605078683346e-05
22,0.05,restricted,0.0003267
